"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"    White alone, not Hispanic or Latino","143,952,616","±18,620","(X)","(X)","69,932,638","±10,505","(X)","(X)","74,019,978","±12,212","(X)","(X)"
"        High school graduate or higher","134,055,047","±76,171","93.1%","±0.1","64,752,666","±42,146","92.6%","±0.1","69,302,381","±49,582","93.6%","±0.1"
"        Bachelor's degree or higher","52,305,363","±147,887","36.3%","±0.1","25,253,838","±80,568","36.1%","±0.1","27,051,525","±86,474","36.5%","±0.1"
"    Black alone","26,865,725","±29,240","(X)","(X)","12,406,838","±23,179","(X)","(X)","14,458,887","±24,197","(X)","(X)"
"        High school graduate or higher","23,228,820","±46,484","86.5%","±0.1","10,583,749","±33,837","85.3%","±0.2","12,645,071","±32,228","87.5%","±0.2"
"        Bachelor's degree or higher","5,909,786","±49,004","22.0%","±0.2","2,369,452","±27,752","19.1%","±0.2","3,540,334","±34,744","24.5%","±0.2"
"    American Indian or Alaska Native alone","1,760,442","±22,905","(X)","(X)","869,273","±15,235","(X)","(X)","891,169","±12,569","(X)","(X)"
"        High school graduate or higher","1,422,728","±20,533","80.8%","±0.5","691,924","±13,051","79.6%","±0.7","730,804","±12,850","82.0%","±0.7"
"        Bachelor's degree or higher","268,434","±9,529","15.2%","±0.5","115,358","±5,928","13.3%","±0.6","153,076","±6,846","17.2%","±0.7"
"    Asian alone","13,111,463","±26,306","(X)","(X)","6,035,059","±16,409","(X)","(X)","7,076,404","±19,628","(X)","(X)"
"        High school graduate or higher","11,479,234","±35,471","87.6%","±0.2","5,394,786","±20,097","89.4%","±0.2","6,084,448","±25,299","86.0%","±0.2"
"        Bachelor's degree or higher","7,205,076","±45,397","55.0%","±0.3","3,454,687","±27,430","57.2%","±0.4","3,750,389","±26,461","53.0%","±0.3"
"    Native Hawaiian and Other Pacific Islander alone","401,896","±8,557","(X)","(X)","197,616","±5,863","(X)","(X)","204,280","±5,703","(X)","(X)"
"        High school graduate or higher","350,266","±8,217","87.2%","±1.1","170,446","±5,841","86.3%","±1.6","179,820","±5,792","88.0%","±1.3"
"        Bachelor's degree or higher","74,212","±4,739","18.5%","±1.1","34,988","±2,692","17.7%","±1.3","39,224","±3,522","19.2%","±1.7"
"    Some other race alone","9,644,891","±73,114","(X)","(X)","4,935,515","±41,816","(X)","(X)","4,709,376","±42,907","(X)","(X)"
"        High school graduate or higher","6,167,318","±60,271","63.9%","±0.4","3,101,896","±35,473","62.8%","±0.5","3,065,422","±37,978","65.1%","±0.5"
"        Bachelor's degree or higher","1,193,213","±20,141","12.4%","±0.2","537,970","±14,209","10.9%","±0.3","655,243","±15,614","13.9%","±0.3"
"    Two or more races","4,800,600","±61,871","(X)","(X)","2,331,867","±35,198","(X)","(X)","2,468,733","±35,846","(X)","(X)"
"        High school graduate or higher","4,260,547","±58,102","88.8%","±0.3","2,046,437","±33,002","87.8%","±0.4","2,214,110","±34,157","89.7%","±0.4"
"        Bachelor's degree or higher","1,577,043","±33,443","32.9%","±0.5","715,507","±18,332","30.7%","±0.6","861,536","±21,776","34.9%","±0.6"
"    Hispanic or Latino Origin","34,244,734","±26,884","(X)","(X)","17,095,203","±19,414","(X)","(X)","17,149,531","±15,674","(X)","(X)"
"        High school graduate or higher","23,857,471","±77,899","69.7%","±0.2","11,692,372","±48,881","68.4%","±0.3","12,165,099","±43,846","70.9%","±0.2"
"        Bachelor's degree or higher","5,810,105","±58,750","17.0%","±0.2","2,630,652","±36,284","15.4%","±0.2","3,179,453","±34,771","18.5%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","24.4%","±0.2","(X)","(X)","20.7%","±0.2","(X)","(X)","28.1%","±0.3"
"    High school graduate (includes equivalency)","(X)","(X)","13.5%","±0.1","(X)","(X)","11.1%","±0.1","(X)","(X)","15.8%","±0.1"
"    Some college or associate's degree","(X)","(X)","9.5%","±0.1","(X)","(X)","7.3%","±0.1","(X)","(X)","11.3%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.4%","±0.1","(X)","(X)","4.0%","±0.1","(X)","(X)","4.7%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,867","±44","(X)","(X)","47,428","±89","(X)","(X)","34,309","±105","(X)","(X)"
"        Less than high school graduate","24,530","±134","(X)","(X)","29,267","±224","(X)","(X)","18,518","±161","(X)","(X)"
"        High school graduate (includes equivalency)","31,269","±58","(X)","(X)","36,976","±91","(X)","(X)","25,022","±105","(X)","(X)"
"        Some college or associate's degree","36,854","±62","(X)","(X)","45,255","±137","(X)","(X)","31,018","±60","(X)","(X)"
"        Bachelor's degree","54,628","±220","(X)","(X)","66,710","±177","(X)","(X)","46,316","±129","(X)","(X)"
"        Graduate or professional degree","72,492","±246","(X)","(X)","91,217","±265","(X)","(X)","61,737","±137","(X)","(X)"
