"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Males!!Estimate","United States!!Males!!Margin of Error","United States!!Percent Males!!Estimate","United States!!Percent Males!!Margin of Error","United States!!Females!!Estimate","United States!!Females!!Margin of Error","United States!!Percent Females!!Estimate","United States!!Percent Females!!Margin of Error"
"    Graduate or professional degree","26,091,882","±104,114","11.9%","±0.1","12,478,805","±57,193","11.8%","±0.1","13,613,077","±60,997","12.0%","±0.1"
"Percent high school graduate or higher","(X)","(X)","87.5%","±0.1","(X)","(X)","86.7%","±0.1","(X)","(X)","88.1%","±0.1"
"Percent bachelor's degree or higher","(X)","(X)","31.3%","±0.1","(X)","(X)","30.8%","±0.1","(X)","(X)","31.7%","±0.1"
"Population 25 to 34 years","44,390,248","±35,773","(X)","(X)","22,398,722","±23,489","(X)","(X)","21,991,526","±24,951","(X)","(X)"
"    High school graduate or higher","40,005,481","±55,552","90.1%","±0.1","19,858,191","±34,239","88.7%","±0.1","20,147,290","±33,602","91.6%","±0.1"
"    Bachelor's degree or higher","15,494,524","±73,638","34.9%","±0.2","6,939,278","±40,169","31.0%","±0.2","8,555,246","±47,213","38.9%","±0.2"
"Population 35 to 44 years","40,655,592","±30,669","(X)","(X)","20,215,641","±21,640","(X)","(X)","20,439,951","±18,070","(X)","(X)"
"    High school graduate or higher","35,755,759","±45,763","87.9%","±0.1","17,499,996","±31,071","86.6%","±0.1","18,255,763","±27,214","89.3%","±0.1"
"    Bachelor's degree or higher","14,257,585","±60,486","35.1%","±0.1","6,430,770","±33,861","31.8%","±0.2","7,826,815","±38,931","38.3%","±0.2"
"Population 45 to 64 years","84,214,475","±44,529","(X)","(X)","41,091,683","±25,733","(X)","(X)","43,122,792","±26,970","(X)","(X)"
"    High school graduate or higher","74,190,641","±74,584","88.1%","±0.1","35,723,014","±43,334","86.9%","±0.1","38,467,627","±46,417","89.2%","±0.1"
"    Bachelor's degree or higher","25,460,390","±82,927","30.2%","±0.1","12,153,849","±50,526","29.6%","±0.1","13,306,541","±52,918","30.9%","±0.1"
"Population 65 years and over","49,215,165","±22,133","(X)","(X)","21,760,438","±12,652","(X)","(X)","27,454,727","±14,106","(X)","(X)"
"    High school graduate or higher","41,111,365","±50,811","83.5%","±0.1","18,368,629","±29,054","84.4%","±0.1","22,742,736","±32,312","82.8%","±0.1"
"    Bachelor's degree or higher","13,121,778","±40,619","26.7%","±0.1","6,985,715","±29,504","32.1%","±0.1","6,136,063","±24,966","22.3%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","164,450,361","±63,787","(X)","(X)","79,986,114","±39,884","(X)","(X)","84,464,247","±35,062","(X)","(X)"
"        High school graduate or higher","147,088,542","±114,486","89.4%","±0.1","70,979,831","±65,912","88.7%","±0.1","76,108,711","±61,181","90.1%","±0.1"
"        Bachelor's degree or higher","53,704,609","±141,124","32.7%","±0.1","25,983,001","±77,604","32.5%","±0.1","27,721,608","±84,072","32.8%","±0.1"
"White alone, not Hispanic or Latino","143,232,044","±17,965","(X)","(X)","69,503,523","±10,459","(X)","(X)","73,728,521","±10,923","(X)","(X)"
"    High school graduate or higher","132,430,436","±72,408","92.5%","±0.1","63,894,307","±41,398","91.9%","±0.1","68,536,129","±43,536","93.0%","±0.1"
"    Bachelor's degree or higher","50,084,339","±119,697","35.0%","±0.1","24,341,060","±66,987","35.0%","±0.1","25,743,279","±71,095","34.9%","±0.1"
"Black alone","25,944,692","±33,238","(X)","(X)","11,937,836","±20,180","(X)","(X)","14,006,856","±24,949","(X)","(X)"
"    High school graduate or higher","22,117,621","±47,159","85.2%","±0.1","9,984,776","±31,340","83.6%","±0.2","12,132,845","±30,859","86.6%","±0.2"
"    Bachelor's degree or higher","5,414,414","±51,430","20.9%","±0.2","2,173,453","±29,157","18.2%","±0.2","3,240,961","±34,034","23.1%","±0.2"
"American Indian or Alaska Native alone","1,638,208","±22,403","(X)","(X)","798,874","±13,617","(X)","(X)","839,334","±13,637","(X)","(X)"
"    High school graduate or higher","1,308,325","±18,667","79.9%","±0.5","622,515","±11,267","77.9%","±0.7","685,810","±11,774","81.7%","±0.6"
"    Bachelor's degree or higher","237,356","±7,776","14.5%","±0.5","104,365","±5,079","13.1%","±0.6","132,991","±5,078","15.8%","±0.6"
"Asian alone","12,334,122","±24,974","(X)","(X)","5,664,945","±15,090","(X)","(X)","6,669,177","±16,071","(X)","(X)"
"    High school graduate or higher","10,681,386","±33,365","86.6%","±0.2","5,010,558","±19,245","88.4%","±0.2","5,670,828","±20,776","85.0%","±0.2"
"    Bachelor's degree or higher","6,558,575","±37,840","53.2%","±0.3","3,150,062","±21,300","55.6%","±0.3","3,408,513","±24,168","51.1%","±0.3"
"Native Hawaiian and Other Pacific Islander alone","367,918","±8,149","(X)","(X)","174,825","±5,406","(X)","(X)","193,093","±5,710","(X)","(X)"
"    High school graduate or higher","315,568","±7,301","85.8%","±1.1","150,933","±5,143","86.3%","±1.4","164,635","±4,762","85.3%","±1.4"
"    Bachelor's degree or higher","64,195","±4,296","17.4%","±1.1","31,022","±3,119","17.7%","±1.6","33,173","±3,100","17.2%","±1.5"
"Some other race alone","9,428,731","±69,286","(X)","(X)","4,827,085","±43,294","(X)","(X)","4,601,646","±37,065","(X)","(X)"
"    High school graduate or higher","5,766,626","±50,138","61.2%","±0.4","2,893,927","±31,766","60.0%","±0.4","2,872,699","±29,522","62.4%","±0.4"
"    Bachelor's degree or higher","1,032,532","±22,668","11.0%","±0.2","468,661","±14,122","9.7%","±0.3","563,871","±13,970","12.3%","±0.3"
"Two or more races","4,311,448","±51,178","(X)","(X)","2,076,805","±29,044","(X)","(X)","2,234,643","±29,246","(X)","(X)"
"    High school graduate or higher","3,785,178","±48,065","87.8%","±0.3","1,807,290","±27,105","87.0%","±0.4","1,977,888","±27,250","88.5%","±0.4"
"    Bachelor's degree or higher","1,322,596","±21,340","30.7%","±0.3","599,048","±12,873","28.8%","±0.5","723,548","±13,616","32.4%","±0.5"
"Hispanic or Latino Origin","32,331,742","±24,217","(X)","(X)","16,133,203","±15,376","(X)","(X)","16,198,539","±14,681","(X)","(X)"
"    High school graduate or higher","21,698,901","±65,706","67.1%","±0.2","10,585,463","±38,751","65.6%","±0.2","11,113,438","±41,343","68.6%","±0.2"
"    Bachelor's degree or higher","4,961,751","±46,928","15.3%","±0.1","2,233,630","±28,222","13.8%","±0.2","2,728,121","±29,251","16.8%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","25.4%","±0.2","(X)","(X)","21.7%","±0.2","(X)","(X)","29.2%","±0.3"
"    High school graduate (includes equivalency)","(X)","(X)","13.9%","±0.1","(X)","(X)","11.7%","±0.1","(X)","(X)","16.0%","±0.1"
"    Some college or associate's degree","(X)","(X)","10.0%","±0.1","(X)","(X)","7.9%","±0.1","(X)","(X)","11.8%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.4%","±0.1","(X)","(X)","4.0%","±0.1","(X)","(X)","4.8%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","37,842","±103","(X)","(X)","44,611","±213","(X)","(X)","31,711","±41","(X)","(X)"
"        Less than high school graduate","21,839","±73","(X)","(X)","25,943","±109","(X)","(X)","16,618","±105","(X)","(X)"
"        High school graduate (includes equivalency)","29,969","±121","(X)","(X)","35,247","±97","(X)","(X)","23,010","±125","(X)","(X)"
"        Some college or associate's degree","35,406","±57","(X)","(X)","42,071","±75","(X)","(X)","29,854","±137","(X)","(X)"
"        Bachelor's degree","51,676","±67","(X)","(X)","63,113","±540","(X)","(X)","43,047","±250","(X)","(X)"
"        Graduate or professional degree","70,121","±148","(X)","(X)","86,879","±382","(X)","(X)","58,724","±456","(X)","(X)"
