"Label","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"        High school graduate or higher","73,820,286","±78,538","88.6%","±0.1","35,576,443","±46,237","87.5%","±0.1","38,243,843","±48,481","89.6%","±0.1"
"        Bachelor's degree or higher","26,523,511","±107,540","31.8%","±0.1","12,456,376","±55,788","30.6%","±0.1","14,067,135","±67,314","33.0%","±0.2"
"    Population 65 years and over","54,074,028","±24,915","(X)","(X)","24,044,281","±16,352","(X)","(X)","30,029,747","±17,170","(X)","(X)"
"        High school graduate or higher","46,359,255","±51,809","85.7%","±0.1","20,772,368","±34,793","86.4%","±0.1","25,586,887","±37,275","85.2%","±0.1"
"        Bachelor's degree or higher","15,452,363","±55,467","28.6%","±0.1","7,994,071","±35,710","33.2%","±0.1","7,458,292","±35,848","24.8%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","167,334,031","±67,944","(X)","(X)","81,503,222","±46,765","(X)","(X)","85,830,809","±35,285","(X)","(X)"
"        High school graduate or higher","151,274,037","±128,143","90.4%","±0.1","73,141,588","±77,104","89.7%","±0.1","78,132,449","±68,811","91.0%","±0.1"
"        Bachelor's degree or higher","57,614,239","±178,573","34.4%","±0.1","27,574,216","±96,445","33.8%","±0.1","30,040,023","±103,127","35.0%","±0.1"
"    White alone, not Hispanic or Latino","144,203,068","±19,329","(X)","(X)","70,079,401","±12,781","(X)","(X)","74,123,667","±10,510","(X)","(X)"
"        High school graduate or higher","134,556,337","±77,731","93.3%","±0.1","65,002,939","±44,268","92.8%","±0.1","69,553,398","±43,771","93.8%","±0.1"
"        Bachelor's degree or higher","53,161,917","±149,450","36.9%","±0.1","25,550,556","±82,137","36.5%","±0.1","27,611,361","±89,547","37.3%","±0.1"
"    Black alone","27,336,967","±36,368","(X)","(X)","12,615,129","±23,931","(X)","(X)","14,721,838","±27,233","(X)","(X)"
"        High school graduate or higher","23,799,881","±50,444","87.1%","±0.1","10,831,809","±36,150","85.9%","±0.2","12,968,072","±35,719","88.1%","±0.2"
"        Bachelor's degree or higher","6,164,066","±48,286","22.5%","±0.2","2,481,765","±29,631","19.7%","±0.2","3,682,301","±33,884","25.0%","±0.2"
"    American Indian or Alaska Native alone","1,802,438","±22,359","(X)","(X)","878,986","±15,406","(X)","(X)","923,452","±13,293","(X)","(X)"
"        High school graduate or higher","1,469,556","±20,692","81.5%","±0.6","706,492","±13,111","80.4%","±0.8","763,064","±14,113","82.6%","±0.7"
"        Bachelor's degree or higher","289,540","±8,534","16.1%","±0.5","127,481","±5,754","14.5%","±0.6","162,059","±6,737","17.5%","±0.7"
"    Asian alone","13,381,406","±28,077","(X)","(X)","6,167,780","±18,761","(X)","(X)","7,213,626","±19,397","(X)","(X)"
"        High school graduate or higher","11,747,079","±36,349","87.8%","±0.2","5,515,960","±20,475","89.4%","±0.2","6,231,119","±23,264","86.4%","±0.2"
"        Bachelor's degree or higher","7,434,848","±41,840","55.6%","±0.3","3,553,501","±25,926","57.6%","±0.4","3,881,347","±22,789","53.8%","±0.3"
"    Native Hawaiian and Other Pacific Islander alone","395,310","±10,730","(X)","(X)","190,929","±6,660","(X)","(X)","204,381","±7,186","(X)","(X)"
"        High school graduate or higher","341,078","±10,486","86.3%","±1.2","164,777","±6,557","86.3%","±1.5","176,301","±7,178","86.3%","±1.5"
"        Bachelor's degree or higher","71,507","±5,501","18.1%","±1.3","32,507","±3,127","17.0%","±1.5","39,000","±3,904","19.1%","±1.8"
"    Some other race alone","9,752,522","±63,527","(X)","(X)","4,962,511","±37,682","(X)","(X)","4,790,011","±36,676","(X)","(X)"
"        High school graduate or higher","6,283,268","±53,492","64.4%","±0.4","3,142,888","±33,645","63.3%","±0.5","3,140,380","±31,597","65.6%","±0.4"
"        Bachelor's degree or higher","1,294,122","±24,766","13.3%","±0.2","587,951","±15,568","11.8%","±0.3","706,171","±16,347","14.7%","±0.3"
"    Two or more races","4,895,894","±66,473","(X)","(X)","2,392,535","±37,999","(X)","(X)","2,503,359","±38,158","(X)","(X)"
"        High school graduate or higher","4,365,128","±62,657","89.2%","±0.3","2,120,648","±34,361","88.6%","±0.4","2,244,480","±37,418","89.7%","±0.4"
"        Bachelor's degree or higher","1,633,329","±31,096","33.4%","±0.4","744,993","±18,866","31.1%","±0.6","888,336","±20,220","35.5%","±0.5"
"    Hispanic or Latino Origin","34,949,077","±25,522","(X)","(X)","17,427,118","±19,467","(X)","(X)","17,521,959","±16,003","(X)","(X)"
"        High school graduate or higher","24,623,646","±81,220","70.5%","±0.2","12,088,356","±48,993","69.4%","±0.3","12,535,290","±44,405","71.5%","±0.2"
"        Bachelor's degree or higher","6,164,098","±60,655","17.6%","±0.2","2,791,429","±35,288","16.0%","±0.2","3,372,669","±37,288","19.2%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.4%","±0.2","(X)","(X)","19.6%","±0.2","(X)","(X)","27.2%","±0.2"
"    High school graduate (includes equivalency)","(X)","(X)","13.1%","±0.1","(X)","(X)","10.9%","±0.1","(X)","(X)","15.2%","±0.1"
"    Some college or associate's degree","(X)","(X)","9.1%","±0.1","(X)","(X)","7.1%","±0.1","(X)","(X)","10.9%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.1%","±0.1","(X)","(X)","3.7%","±0.1","(X)","(X)","4.4%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","41,801","±44","(X)","(X)","50,016","±57","(X)","(X)","35,728","±71","(X)","(X)"
"        Less than high school graduate","25,876","±94","(X)","(X)","30,725","±102","(X)","(X)","20,046","±113","(X)","(X)"
"        High school graduate (includes equivalency)","31,956","±42","(X)","(X)","38,906","±159","(X)","(X)","25,829","±94","(X)","(X)"
"        Some college or associate's degree","38,125","±148","(X)","(X)","46,610","±155","(X)","(X)","31,644","±65","(X)","(X)"
"        Bachelor's degree","56,344","±136","(X)","(X)","69,201","±502","(X)","(X)","47,895","±260","(X)","(X)"
"        Graduate or professional degree","75,495","±179","(X)","(X)","93,998","±962","(X)","(X)","63,912","±394","(X)","(X)"
